"jornada","jornada_id","id","name","points","jornada_points","teamValue","position","lineup.type","lineup.players_1","lineup.players_2","lineup.players_3","lineup.players_4","lineup.players_5","lineup.players_6","lineup.players_7","lineup.players_8","lineup.players_9","lineup.players_10","lineup.players_11"
15,4498,11678835,"Julia",541,30,80020000,7,"3-4-3",17021,1074,26566,31321,12221,19445,9480,1733,35615,33,37450
16,4499,8128710,"Los vengadores",793,37,144970000,1,"4-3-3",257,10574,19614,10040,15719,31027,10139,31243,897,19577,26271
16,4499,10089858,"Karlox F.C.",726,44,87550000,2,"3-5-2",11,20,33447,35156,38867,30789,35344,11686,27591,2009,38289
16,4499,8127478,"Arregui",750,45,112290000,3,"4-3-3",30487,18945,2635,23840,38847,30495,2597,26048,12494,12526,26930
16,4499,6822272,"Ricardo J",608,30,152440000,4,"4-3-3",15430,26095,17731,32460,34111,9402,1249,20102,2001,15568,21008
16,4499,6826480,"Víctor Orta",603,60,70040000,5,"4-3-3",9090,11800,38290,2169,21068,37724,38963,21084,17690,9047,25724
16,4499,5684093,"CD Cornisa Azul",573,37,74890000,6,"3-5-2",2184,28012,9557,26276,1971,38449,32338,30477,17057,10745,10276
16,4499,11678835,"Julia",563,22,80020000,7,"3-4-3",17021,1074,26566,31321,12221,19445,9480,1733,35615,33,37450
17,4500,8128710,"Los vengadores",837,44,144970000,1,"4-3-3",257,10574,19614,10040,15719,31027,10139,31243,37473,19577,26271
17,4500,10089858,"Karlox F.C.",770,44,87550000,2,"3-5-2",11,20,33447,35156,3259,30789,35344,38368,27591,2009,38289
17,4500,8127478,"Arregui",808,58,112290000,3,"4-3-3",30487,18945,2635,23840,38847,30495,2597,26048,18382,12526,26930
17,4500,6822272,"Ricardo J",655,47,152440000,4,"4-3-3",15430,2253,17731,32460,34111,9402,19547,20102,2001,15568,21008
17,4500,6826480,"Víctor Orta",660,57,70040000,5,"4-3-3",9090,11800,38290,2169,8695,1969,38963,21084,17690,9047,25724
17,4500,5684093,"CD Cornisa Azul",615,42,74890000,6,"3-4-3",9887,28012,9557,22964,17057,5807,32338,30477,6259,27994,10276
17,4500,11678835,"Julia",600,37,80020000,7,"3-4-3",17021,1074,26566,31321,12221,19445,9480,1733,35615,33,37450
18,4501,8128710,"Los vengadores",881,44,144970000,1,"4-3-3",257,37719,19614,10040,1871,2602,5352,31243,37473,1153,26271
18,4501,10089858,"Karlox F.C.",812,42,87550000,2,"4-4-2",11,20,33447,35156,1599,30789,34077,3259,27591,2009,38289
18,4501,8127478,"Arregui",838,30,112290000,3,"4-3-3",30487,18945,2635,35765,13994,30495,2597,26048,18382,12526,26930
18,4501,6822272,"Ricardo J",717,62,152440000,4,"3-4-3",15430,2253,34111,17731,19862,19547,20102,20969,2603,18178,1927
18,4501,6826480,"Víctor Orta",703,43,70040000,5,"4-3-3",9090,11800,21068,2169,NA,21145,38963,21084,38964,9047,25724
18,4501,5684093,"CD Cornisa Azul",657,42,74890000,6,"3-4-3",9887,28012,22964,26276,17057,5807,32338,30477,6259,10745,10276
18,4501,11678835,"Julia",640,40,80020000,7,"3-4-3",17021,1074,26566,31321,12221,19445,9480,1733,35615,33,32114
19,4502,8128710,"Los vengadores",733,45,144970000,1,"3-4-3",257,10574,38493,33971,38390,31027,10139,38958,1927,19577,26271
