id,name,slug,teamID,position,price,fantasyPrice,number,status,priceIncrement,playedHome,playedAway,points,pointsHome,pointsAway,pointsLastSeason,fitness_json,iconHero,altPositions,statusInfo,statusChange
26676,Luiz Felipe,luiz-felipe,70,2,210000,9000000,5,doubt,0,5,5,22,16,6,,"[""injured"",""injured"",""injured"",""injured"",""injured""]",,,Lesión en los isquiotibiales.,1779620409
34621,Luiz Júnior,luiz-junior,19,1,1110000,12000000,1,ok,-10000,14,14,104,52,52,66,"[null,null,null,null,null]",,,,
34469,Luka Sucic,luka-sucic,13,3,1920000,15000000,24,ok,-30000,9,13,78,34,44,96,"[6,2,6,2,2]",,[4],,
15464,Diakhaby,m-diakhaby,18,2,310000,9000000,4,ok,-10000,3,5,35,23,12,54,"[""doubt"",""injured"",""injured"",""injured"",""injured""]",,,,
33789,Manolo González,manolo-gonzalez,7,5,540000,7000000,0,ok,0,19,19,46,26,20,42,"[1,3,3,0,0]",,,,
26299,Manu Bueno,manu-bueno,17,3,150000,7000000,28,ok,0,4,4,24,16,8,18,"[""doubt"",""injured"",""injured"",""injured"",""doubt""]",,,,
290,Manu Fernández,manu-fernandez,5,2,150000,7000000,12,ok,0,7,7,18,12,6,,"[null,null,null,null,-2]",,,,
1721,Manu Sánchez,manu-sanchez,10,2,990000,11000000,23,ok,-20000,16,17,111,56,55,97,"[2,6,-2,2,null]",,,,
40070,Manuel Ángel,manuel-angel,15,3,150000,7000000,37,ok,0,1,3,4,2,2,,"[null,null,null,null,null]",,,,
37717,Marc Aguado,marc-aguado,75,3,1700000,7000000,8,ok,0,17,18,108,64,44,,"[6,2,2,2,2]",,,,
1125,Bartra,marc-bartra,87,2,1200000,14000000,5,ok,-20000,13,12,89,50,39,136,"[""doubt"",""injured"",""injured"",""injured"",""injured""]",i/p/hero/1125.png,,,
34077,Marc Bernal,marc-bernal,3,3,4740000,8000000,22,ok,0,11,11,108,70,38,18,"[2,6,2,2,6]",i/p/hero/34077.png,,,
32629,Marc Casadó,marc-casado,3,3,1050000,16000000,17,ok,-20000,15,9,46,50,-4,105,"[0,2,-2,null,null]",,,,
25398,Pubill,marc-pubill,2,2,5250000,10000000,18,ok,-120000,11,8,107,62,45,,"[7,6,10,2,null]",,,,
5807,Marc Roca,marc-roca,87,3,1530000,10000000,21,ok,-30000,15,14,94,46,48,64,"[2,2,null,6,2]",i/p/hero/5807.png,,,
34526,Marc Vidal,marc-vidal,5,1,150000,7000000,25,ok,0,0,0,0,0,0,,"[null,null,null,null,null]",,,,
26813,Marcão,marcao,17,2,280000,7000000,23,ok,0,5,8,23,14,9,5,"[""doubt"",""injured"",""injured"",""injured"",""injured""]",,,,
28087,Marcos Alonso,marcos-alonso,5,2,2790000,16000000,20,ok,0,15,17,119,50,69,142,"[6,2,2,6,""sanctioned""]",,,,
2600,Marcos Llorente,marcos-llorente,2,2,6360000,26000000,14,ok,-140000,15,14,117,78,39,140,"[-2,null,3,2,null]",i/p/hero/2600.png,[3],,
5697,Mariano,mariano-diaz,91,4,160000,7000000,9,ok,0,4,6,20,8,12,,"[null,null,null,null,null]",,,,
36556,Mariezkurrena,mariezkurrena,13,4,150000,7000000,34,ok,0,0,1,0,0,0,38,"[null,null,null,null,null]",,,,
2368,Mario Martín,mario-martin,8,3,850000,8000000,6,ok,-10000,16,19,118,68,50,49,"[2,2,6,2,""sanctioned""]",,,,
33938,Sannadi,maroan-sannadi,1,4,210000,11000000,21,ok,0,6,4,23,15,8,57,"[null,2,null,null,null]",,,,
38355,Neto,martim-neto,75,3,530000,7000000,16,ok,-10000,12,13,84,58,26,,"[null,null,null,null,2]",,,,
38164,Mastantuono,mastantuono,15,4,1060000,14000000,30,ok,-20000,12,11,41,10,31,,"[-2,2,-2,0,2]",,,,
39399,Matarazzo,matarazzo,13,5,1060000,7000000,0,ok,0,11,10,29,19,10,,"[1,0,1,1,0]",,,,
17482,Dituro,matias-dituro,75,1,2130000,8000000,1,ok,110000,11,11,88,46,42,,"[2,2,2,2,2]",,,,
38178,Matías Moreno,matias-moreno,10,2,1330000,9000000,2,ok,-20000,14,14,88,50,38,,"[2,6,2,2,-2]",,,,
40006,Matías Vecino,matias-vecino,5,3,210000,9000000,15,ok,0,4,2,2,0,2,,"[0,0,""doubt"",""doubt"",""doubt""]",,,,
38059,Ruggeri,matteo-ruggeri,2,2,1070000,20000000,3,ok,-20000,14,12,44,36,8,,"[2,2,2,2,null]",,,,
10139,Arambarri,mauro-arambarri,8,3,6820000,22000000,8,ok,-170000,19,18,196,101,95,201,"[6,2,10,6,2]",i/p/hero/10139.png,,,
19577,Mbappé,mbappe,15,4,22720000,70000000,10,ok,0,15,16,221,103,118,267,"[5,2,2,""injured"",""injured""]",i/p/hero/19577.png,,,
40551,Miguel Cubo,miguel-cubo,2,4,440000,8000000,61,ok,0,1,1,19,6,13,,"[null,null,6,13]",,,,
3259,Miguel Román,miguel-roman,5,3,600000,8000000,16,doubt,-10000,9,10,90,38,52,,"[""doubt"",""injured"",""injured"",""injured"",""injured""]",,,Fractura en la base del quinto metatarsiano.,1779566432
23988,Miguel Rubio,miguel-rubio,7,2,240000,8000000,15,ok,0,6,6,27,17,10,,"[null,null,null,null,null]",,,,
31702,Ristic,mihailo-ristic,5,2,150000,7000000,21,ok,0,2,3,0,0,0,20,"[null,null,null,0,null]",,[3],,
30210,Jauregizar,mikel-jauregizar,1,3,1800000,14000000,18,ok,0,18,18,113,57,56,150,"[2,2,2,6,-2]",,,,
5717,Vesga,mikel-vesga,1,3,190000,8000000,6,ok,0,11,12,36,18,18,58,"[0,null,null,2,null]",,,,
1462,Moi Gómez,moi-gomez,93,3,1050000,8000000,16,ok,-10000,13,13,78,54,24,44,"[2,2,6,null,2]",,,,
8747,Moncayola,moncayola,93,3,2510000,11000000,7,ok,-40000,18,18,140,80,60,106,"[2,6,2,6,2]",,[2],,
1868,Morales,morales,10,4,330000,9000000,11,ok,-10000,9,11,33,15,18,,"[null,null,null,2,null]",i/p/hero/1868.png,[3],,
25815,Nacho Pérez,nacho-perez,10,2,210000,7000000,29,ok,0,2,1,4,4,0,,"[null,2,0,2]",,,,
27059,Molina,nahuel-molina,2,2,1130000,12000000,16,doubt,-20000,14,12,60,27,33,64,"[""injured"",""injured"",""injured"",-2,10]",i/p/hero/27059.png,,Recuperación de lesión.,1779688812
25384,Tenaglia,nahuel-tenaglia,91,2,3170000,15000000,14,ok,0,19,17,162,104,58,158,"[6,6,10,2,7]",,,,
19614,Natan,natan,87,2,1340000,12000000,4,ok,-20000,17,16,94,42,52,85,"[2,2,2,""doubt"",2]",,,,
39876,Maupay,neal-maupay,17,4,1640000,8000000,17,ok,10000,6,6,38,8,30,,"[2,-2,6,2,6]",,,,
37416,Deossa,nelson-deossa,87,3,310000,20000000,18,ok,0,9,11,54,30,24,,"[null,6,null,2,2]",,,,
18916,Gudelj,nemanja-gudelj,17,3,810000,11000000,6,ok,-10000,17,17,87,42,45,69,"[0,2,2,2,2]",,[2],,
38966,Nico González,nico-gonzalez-2,2,3,1410000,35000000,23,doubt,180000,13,11,97,55,42,,"[""injured"",""injured"",""injured"",""injured"",""injured""]",i/p/hero/38966.png,[4],Lesión muscular.,1779688816
24956,Nico Serrano,nico-serrano,1,4,200000,7000000,22,ok,0,9,7,45,29,16,8,"[null,2,2,null,null]",,,,
21008,Nico Williams,nico-williams,1,4,6310000,47000000,10,ok,-100000,13,12,132,72,60,137,"[null,""injured"",""injured"",6,16]",i/p/hero/21008.png,,,
34479,Pépé,nicolas-pepe,19,4,11550000,16000000,19,ok,0,19,17,180,105,75,125,"[6,null,2,2,13]",i/p/hero/34479.png,[3],,
37467,Nobel Mendy,nobel-mendy,70,2,690000,7000000,32,ok,-10000,11,13,51,39,12,-4,"[2,null,6,0,2]",,,,
5352,Óscar Valentín,o-valentin,70,3,1390000,9000000,23,ok,-30000,17,16,98,60,38,114,"[2,6,2,6,0]",,,,
38405,Odysseas,o-vlachodimos,17,1,1690000,17000000,1,ok,0,17,16,138,66,72,,"[null,2,2,2,2]",,,,
39974,Obed Vargas,obed-vargas,2,3,1100000,10000000,21,ok,-30000,6,6,32,16,16,,"[-2,2,2,2,6]",,,,
1897,Oblak,oblak,2,1,2180000,20000000,13,ok,0,17,13,112,58,54,124,"[null,6,null,2,null]",,,,
6871,Odriozola,odriozola,13,2,150000,7000000,20,injured,0,4,1,29,14,15,4,"[""injured"",""injured"",""injured"",""injured"",""injured""]",,,Rotura del ligamento cruzado anterior. Retorno estimado: Mediados de Octubre.,1771671600
28103,El Hilali,omar-el-hilali,7,2,1090000,13000000,23,ok,-20000,18,18,92,48,44,120,"[2,2,2,2,2]",,,,
37726,Oriol Rey,oriol-rey,10,3,260000,8000000,20,ok,0,9,11,48,20,28,,"[2,null,null,6,null]",,,,
31493,Nyland,orjan-nyland,17,1,250000,10000000,13,ok,0,2,3,10,0,10,112,"[-2,null,null,null,null]",,,,
19693,Osambela,osambela,93,3,150000,7000000,29,ok,0,7,11,28,12,16,,"[2,null,2,0,2]",,,,
23403,Mingueza,oscar-mingueza,5,2,2510000,18000000,3,ok,0,17,17,115,56,59,144,"[0,-2,6,2,0]",i/p/hero/23403.png,[3],,
9462,Trejo,oscar-trejo,70,3,150000,7000000,8,ok,0,3,4,22,14,8,44,"[null,10,null,null,null]",,,,
35055,Óskarsson,oskarsson,13,4,2770000,10000000,9,ok,-70000,11,9,97,69,28,43,"[9,13,""sanctioned"",9,2]",,,,
39360,Oso,oso,17,2,2280000,8000000,36,ok,-60000,11,10,94,36,58,,"[2,6,11,2,0]",,[3],,
2603,Oyarzabal,oyarzabal,13,4,15370000,27000000,10,ok,-310000,16,18,213,122,91,123,"[2,2,6,9,2]",i/p/hero/2603.png,,,
34127,Peque,p-fernandez,17,4,310000,8000000,14,ok,0,12,14,70,40,30,65,"[2,null,null,null,0]",,[3],,
29184,Barrios,pablo-barrios,2,3,2850000,18000000,8,ok,-30000,11,12,110,66,44,104,"[""injured"",""injured"",""injured"",""injured"",""injured""]",,,,
37894,Pablo Campos,pablo-campos,10,1,260000,7000000,1,ok,0,1,1,8,6,2,,"[null,null,null,null,null]",,,,
29185,Pablo Durán,pablo-duran,5,4,310000,9000000,18,injured,20000,15,15,62,25,37,102,"[0,2,2,2,null]",,,Operación en el hombro izquierdo. Retorno estimado: Finales de Agosto.,1779793210
35763,Pablo García,pablo-garcia,87,4,220000,7000000,52,ok,0,8,7,34,24,10,4,"[null,null,null,null,""discarded""]",,[3],,
14800,Pablo Ibáñez,pablo-ibanez,91,3,1360000,8000000,19,ok,-20000,19,18,128,66,62,74,"[2,2,6,2,2]",,,,
29034,Pablo Marín,pablo-marin,13,3,750000,9000000,15,ok,-10000,17,17,84,46,38,64,"[2,10,2,2,2]",,[4],,
4245,Pablo Martínez,pablo-martinez,10,3,2310000,9000000,10,ok,-70000,13,14,98,58,40,,"[6,6,2,6,2]",,,,
39736,Paco Cortés,paco-cortes,10,4,150000,7000000,27,ok,0,7,5,26,20,6,,"[null,null,null,null,null]",,[3],,
30081,Pape Gueye,pape-gueye,19,3,8910000,17000000,18,ok,-200000,14,16,151,95,56,127,"[14,-2,2,null,null]",,,,
951,Parejo,parejo,19,3,2350000,19000000,10,ok,-50000,17,15,89,57,32,161,"[9,2,2,2,6]",i/p/hero/951.png,,,
24326,Pathé Ciss,pathe-ciss,70,3,3520000,12000000,6,ok,-80000,14,15,122,84,38,122,"[2,2,2,6,6]",,[2],,
28187,Pau Cabanes,pau-cabanes,19,4,150000,7000000,33,ok,0,1,0,2,2,0,33,"[2,null,null,null,""injured""]",,[3],,
