board_index,content_index,type,date,date_iso,fixed,title,author_id,author_name,player_id,amount,from_user_id,from_user_name,to_user_id,to_user_name,content_json
362,0,transfer,1761204519,2025-10-23T07:28:39+00:00,False,,,,13994,600000,11678835,Julia,8127478,Arregui,"{""player"":13994,""from"":{""id"":11678835,""name"":""Julia"",""icon"":""https://graph.facebook.com/10218096465979952/picture?height=300&width=300""},""to"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":600000}"
363,0,transfer,1761202671,2025-10-23T06:57:51+00:00,False,,,,27996,2054800,8127478,Arregui,,,"{""player"":27996,""from"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":2054800}"
364,0,market,1761196192,2025-10-23T05:09:52+00:00,False,,,,1760,1695000,,,6822272,Ricardo J,"{""player"":1760,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":1695000,""bids"":[{""user"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":1630000},{""user"":{""id"":6826480,""name"":""Víctor Orta"",""icon"":""i/u/6826480.png""},""amount"":1530000}]}"
364,1,market,1761196192,2025-10-23T05:09:52+00:00,False,,,,37467,525000,,,6822272,Ricardo J,"{""player"":37467,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":525000,""bids"":[{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":440000}]}"
364,2,market,1761196192,2025-10-23T05:09:52+00:00,False,,,,1613,4900000,,,8127478,Arregui,"{""player"":1613,""to"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":4900000}"
364,3,market,1761196192,2025-10-23T05:09:52+00:00,False,,,,1309,150010,,,8128710,Los vengadores,"{""player"":1309,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":150010}"
365,0,transfer,1761117060,2025-10-22T07:11:00+00:00,False,,,,91,3044000,8127478,Arregui,,,"{""player"":91,""from"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":3044000}"
366,0,market,1761109560,2025-10-22T05:06:00+00:00,False,,,,1676,2180000,,,6822272,Ricardo J,"{""player"":1676,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":2180000,""bids"":[{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1880000},{""user"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":1840000}]}"
366,1,market,1761109560,2025-10-22T05:06:00+00:00,False,,,,21145,1110000,,,11678835,Julia,"{""player"":21145,""to"":{""id"":11678835,""name"":""Julia"",""icon"":""https://graph.facebook.com/10218096465979952/picture?height=300&width=300""},""amount"":1110000}"
366,2,market,1761109560,2025-10-22T05:06:00+00:00,False,,,,37898,910000,,,6822272,Ricardo J,"{""player"":37898,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":910000,""bids"":[{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":896000},{""user"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":890000}]}"
367,0,transfer,1761084695,2025-10-21T22:11:35+00:00,False,,,,26068,2951900,8128710,Los vengadores,,,"{""player"":26068,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":2951900}"
367,1,transfer,1761084695,2025-10-21T22:11:35+00:00,False,,,,23006,155900,8128710,Los vengadores,,,"{""player"":23006,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":155900}"
367,2,transfer,1761084695,2025-10-21T22:11:35+00:00,False,,,,32435,12403700,8128710,Los vengadores,,,"{""player"":32435,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":12403700}"
368,0,transfer,1761060710,2025-10-21T15:31:50+00:00,False,,,,32135,1490200,11678835,Julia,,,"{""player"":32135,""from"":{""id"":11678835,""name"":""Julia"",""icon"":""https://graph.facebook.com/10218096465979952/picture?height=300&width=300""},""amount"":1490200}"
369,0,transfer,1761023738,2025-10-21T05:15:38+00:00,False,,,,38493,3100500,6822272,Ricardo J,,,"{""player"":38493,""from"":{""id"":6822272,""name"":""Ricardo J""},""amount"":3100500}"
370,0,market,1761023318,2025-10-21T05:08:38+00:00,False,,,,34805,150020,,,8128710,Los vengadores,"{""player"":34805,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":150020}"
370,1,market,1761023318,2025-10-21T05:08:38+00:00,False,,,,30495,4080000,,,8127478,Arregui,"{""player"":30495,""to"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":4080000,""bids"":[{""user"":{""id"":6822272,""name"":""Ricardo J""},""amount"":3520000},{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":3245000}]}"
