date,date_iso,round_id,round_name,score_id,user_id,user_name,points,bonus,reason_bonusPoint,reason_bonusFixed,reason_json,reason_bonusRoundPosition
1771344231,2026-02-17T16:03:51+00:00,4507,Jornada 24,1,6826480,Víctor Orta,43,2110000,860000,500000,"{""bonusPoint"":860000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1771344231,2026-02-17T16:03:51+00:00,4507,Jornada 24,1,11678835,Julia,42,2420000,920000,500000,"{""bonusPoint"":920000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1771344231,2026-02-17T16:03:51+00:00,4507,Jornada 24,1,6822272,Ricardo J,37,2730000,980000,500000,"{""bonusPoint"":980000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1771344231,2026-02-17T16:03:51+00:00,4507,Jornada 24,1,8128710,Los vengadores,12,3040000,1040000,500000,"{""bonusPoint"":1040000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1770739726,2026-02-10T16:08:46+00:00,4506,Jornada 23,1,10089858,Karlox F.C.,66,980000,480000,500000,"{""bonusPoint"":480000,""bonusFixed"":500000}",
1770739726,2026-02-10T16:08:46+00:00,4506,Jornada 23,1,8128710,Los vengadores,64,1040000,540000,500000,"{""bonusPoint"":540000,""bonusFixed"":500000}",
1770739726,2026-02-10T16:08:46+00:00,4506,Jornada 23,1,8127478,Arregui,59,1120000,620000,500000,"{""bonusPoint"":620000,""bonusFixed"":500000}",
1770739726,2026-02-10T16:08:46+00:00,4506,Jornada 23,1,6822272,Ricardo J,41,1320000,820000,500000,"{""bonusPoint"":820000,""bonusFixed"":500000}",
1770739726,2026-02-10T16:08:46+00:00,4506,Jornada 23,1,11678835,Julia,31,1680000,1180000,500000,"{""bonusPoint"":1180000,""bonusFixed"":500000}",
1770739726,2026-02-10T16:08:46+00:00,4506,Jornada 23,1,6826480,Víctor Orta,27,1780000,1280000,500000,"{""bonusPoint"":1280000,""bonusFixed"":500000}",
1770739726,2026-02-10T16:08:46+00:00,4506,Jornada 23,1,5684093,CD Cornisa Azul,24,1820000,1320000,500000,"{""bonusPoint"":1320000,""bonusFixed"":500000}",
1770134896,2026-02-03T16:08:16+00:00,4505,Jornada 22,1,8128710,Los vengadores,67,1180000,680000,500000,"{""bonusPoint"":680000,""bonusFixed"":500000}",
1770134896,2026-02-03T16:08:16+00:00,4505,Jornada 22,1,6826480,Víctor Orta,54,1510000,760000,500000,"{""bonusPoint"":760000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1770134896,2026-02-03T16:08:16+00:00,4505,Jornada 22,1,10089858,Karlox F.C.,49,1900000,900000,500000,"{""bonusPoint"":900000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1770134896,2026-02-03T16:08:16+00:00,4505,Jornada 22,1,6822272,Ricardo J,48,2210000,960000,500000,"{""bonusPoint"":960000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1770134896,2026-02-03T16:08:16+00:00,4505,Jornada 22,1,11678835,Julia,45,2480000,980000,500000,"{""bonusPoint"":980000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1770134896,2026-02-03T16:08:16+00:00,4505,Jornada 22,1,5684093,CD Cornisa Azul,38,2830000,1080000,500000,"{""bonusPoint"":1080000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1770134896,2026-02-03T16:08:16+00:00,4505,Jornada 22,1,8127478,Arregui,34,3340000,1340000,500000,"{""bonusPoint"":1340000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1769530099,2026-01-27T16:08:19+00:00,4504,Jornada 21,1,8128710,Los vengadores,82,900000,400000,500000,"{""bonusPoint"":400000,""bonusFixed"":500000}",
1769530099,2026-01-27T16:08:19+00:00,4504,Jornada 21,1,11678835,Julia,58,1610000,860000,500000,"{""bonusPoint"":860000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1769530099,2026-01-27T16:08:19+00:00,4504,Jornada 21,1,5684093,CD Cornisa Azul,49,1880000,880000,500000,"{""bonusPoint"":880000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
