player_id,player_name,player_slug,owner_user_id,owner_user_name,acquired_date,acquired_date_iso,acquired_amount,acquired_type,sold_date,sold_date_iso,sold_to_user_id,sold_to_user_name
18945,Koundé,jules-kounde,6826480,Víctor Orta,1772345108,2026-03-01T06:05:08+00:00,7880000,market,,,,
33697,Raúl Moro,raul-moro,6826480,Víctor Orta,1772258957,2026-02-28T06:09:17+00:00,3540000,market,,,,
21,David Alaba,david-alaba,8128710,Los vengadores,1757740069,2025-09-13T05:07:49+00:00,458000,market,1772172623,2026-02-27T06:10:23+00:00,8127478,Arregui
21,David Alaba,david-alaba,8127478,Arregui,1772172623,2026-02-27T06:10:23+00:00,500000,market,,,,
39876,Maupay,neal-maupay,6822272,Ricardo J,1771740473,2026-02-22T06:07:53+00:00,3880000,market,,,,
34479,Pépé,nicolas-pepe,6822272,Ricardo J,1755839361,2025-08-22T05:09:21+00:00,7250000,market,1767334066,2026-01-02T06:07:46+00:00,6822272,Ricardo J
34479,Pépé,nicolas-pepe,6822272,Ricardo J,1767334066,2026-01-02T06:07:46+00:00,6110000,market,1771740473,2026-02-22T06:07:53+00:00,6822272,Ricardo J
34479,Pépé,nicolas-pepe,6822272,Ricardo J,1771740473,2026-02-22T06:07:53+00:00,6670000,market,,,,
2219,Bakambu,bakambu,6822272,Ricardo J,1771654190,2026-02-21T06:09:50+00:00,1680000,market,,,,
26095,,,8128710,Los vengadores,1759209011,2025-09-30T05:10:11+00:00,1131000,market,1761458837,2025-10-26T06:07:17+00:00,8128710,Los vengadores
26095,,,8128710,Los vengadores,1761458837,2025-10-26T06:07:17+00:00,1378000,market,1765087635,2025-12-07T06:07:15+00:00,6822272,Ricardo J
26095,,,6822272,Ricardo J,1765087635,2025-12-07T06:07:15+00:00,2560000,market,1771654190,2026-02-21T06:09:50+00:00,5684093,CD Cornisa Azul
26095,,,5684093,CD Cornisa Azul,1771654190,2026-02-21T06:09:50+00:00,4290000,market,,,,
32363,Isaac Romero,isaac-romero,6826480,Víctor Orta,1758517670,2025-09-22T05:07:50+00:00,3770000,market,1771654190,2026-02-21T06:09:50+00:00,5684093,CD Cornisa Azul
32363,Isaac Romero,isaac-romero,5684093,CD Cornisa Azul,1771654190,2026-02-21T06:09:50+00:00,745000,market,,,,
24979,Turrientes,benat-turrientes,8128710,Los vengadores,1755579961,2025-08-19T05:06:01+00:00,1301000,market,1764137318,2025-11-26T06:08:38+00:00,8128710,Los vengadores
24979,Turrientes,benat-turrientes,8128710,Los vengadores,1764137318,2025-11-26T06:08:38+00:00,471000,market,1768025172,2026-01-10T06:06:12+00:00,8127478,Arregui
24979,Turrientes,benat-turrientes,8127478,Arregui,1768025172,2026-01-10T06:06:12+00:00,800000,market,1771600984,2026-02-20T15:23:04+00:00,6826480,Víctor Orta
24979,Turrientes,benat-turrientes,6826480,Víctor Orta,1771600984,2026-02-20T15:23:04+00:00,1775000,transfer,,,,
39816,,,11678835,Julia,1770099015,2026-02-03T06:10:15+00:00,3690000,market,1771567793,2026-02-20T06:09:53+00:00,8127478,Arregui
39816,,,8127478,Arregui,1771567793,2026-02-20T06:09:53+00:00,4260000,market,,,,
26071,Ramazani,largie-ramazani,8127478,Arregui,1771567793,2026-02-20T06:09:53+00:00,900000,market,,,,
2001,Ayoze,ayoze-perez,8128710,Los vengadores,1760591325,2025-10-16T05:08:45+00:00,6711000,market,1764569211,2025-12-01T06:06:51+00:00,6822272,Ricardo J
2001,Ayoze,ayoze-perez,6822272,Ricardo J,1764569211,2025-12-01T06:06:51+00:00,7590000,market,1771567793,2026-02-20T06:09:53+00:00,6822272,Ricardo J
2001,Ayoze,ayoze-perez,6822272,Ricardo J,1771567793,2026-02-20T06:09:53+00:00,4780000,market,,,,
18397,De Frutos,jorge-de-frutos,8127478,Arregui,1758603938,2025-09-23T05:05:38+00:00,5540000,market,1771567793,2026-02-20T06:09:53+00:00,8127478,Arregui
18397,De Frutos,jorge-de-frutos,8127478,Arregui,1771567793,2026-02-20T06:09:53+00:00,11860000,market,,,,
17731,Catena,a-catena,6822272,Ricardo J,1763618859,2025-11-20T06:07:39+00:00,2840000,market,1771395000,2026-02-18T06:10:00+00:00,6826480,Víctor Orta
17731,Catena,a-catena,6826480,Víctor Orta,1771395000,2026-02-18T06:10:00+00:00,6760000,market,,,,
15568,Vinícius Jr,vinicius-junior,6822272,Ricardo J,1762322730,2025-11-05T06:05:30+00:00,18790000,market,1771395000,2026-02-18T06:10:00+00:00,10089858,Karlox F.C.
15568,Vinícius Jr,vinicius-junior,10089858,Karlox F.C.,1771395000,2026-02-18T06:10:00+00:00,25555555,market,,,,
28115,Kike Salas,kike-salas,6822272,Ricardo J,1756876444,2025-09-03T05:14:04+00:00,3310000,market,1771395000,2026-02-18T06:10:00+00:00,8128710,Los vengadores
28115,Kike Salas,kike-salas,8128710,Los vengadores,1771395000,2026-02-18T06:10:00+00:00,3570000,market,,,,
